MAI	
TOU	TOU
SOUROUS	
EMINA	E)MI/NA
OSTAI	O)/STAI
DAI	
ME	ME
DIABOLIKH	DIABOLIKH/
AGAPHTAI	A)GAPHTAI/
ACIWTATAI	A)CIW/TATAI
TON	TO/N
APODWSI	A)PODW=SI
AGIW	A(GI/W
MAIRH	MAI/RH|
EFARWSIN	E)FA/RWSIN
OLHS	O(/LHS
KARDIAS	KARDI/AS
OIKTIRMWN	
GIGNESQAI	GI/GNESQAI
GENESONTE	GENE/SONTE
KATAATA	
EURISKWME	EU)RI/SKWME
APOKEINHQHS	A)POKEINHQH=|S
LOIPADEI	LOIPA/DEI
PROSKOPTWN	PROSKO/PTWN
ONOMATISAMEN	O)NOMATI/SAMEN
DIDWN	DI/DWN
KAQ	KAQ
EAUTOU	E(AUTOU=
DIAPRATTWMENW	DIAPRASSWME/NW
ANTAPODOSI	
APWLLOUSA	
XRHSIKWN	XRHSIKW=N
ANELLEIPWS	A)NELLEIPW=S
IWANNHS	*)IWA/NNHS
GEWRGIOS	*GEW/RGIOS
EK	E)K
AP	A)/P
OMOLOGEIA	O(MOLOGEI/A
APESTILEN	A)PE/STILEN
LOKWN	LOKW=N
GEWRGIOU	GEWRGI/OU
AUTWN	
ETW	E(/TW
APA	A)PA=
MAKARIOU	MAKARI/OU
AMMWNIOU	*)AMMWNI/OU
MARKOS	MA/RKOS
UYI	U(/YI
IAKWBIOU	*)IAKWBI/OU
QINOI	QINOI=
LHKWN	LHKW=N
GI	
PIATOU	PIA/TOU
LWN	LWN
AGIS	*)/AGIS
KATWR	KA/TWR
AUTO	
MEN	ME/N
YHLHS	YHLH=S
QEODWROU	QEODW/ROU
PISATOU	*PISA/TOU
SEUHROU	*SEUH/ROU
POLLWN	POLLW=N
POLLW	POLLW/
MARKOU	MA/RKOU
STEFANOS	STE/FANOS
SENOUQIOU	*SENOUQI/OU
ETOU	E)/TOU
TA	TA
PETROU	PE/TROU
XROO	XRO/O
IWANNOU	*)IWA/NNOU
ZAXARIAI	
IATROU	I)ATROU=
PAULOU	
MAKAROU	MAKA/ROU
PEKUSIOU	*PEKUSI/OU
PKULIOU	*PKULI/OU
YOIOU	*YOI/+OU
LOKW	LOKW/
POLUN	POLU/N
EXWNTA	E)/XWNTA
WFEILONTOS	W)FEI/LONTOS
GRAMMA	
LAKOU	LA/KOU
POMARIA	POMA/RIA
PROFHTE	PROFH=TE
USTERESHS	U(STERE/SHS
TOUTOUS	TOU/TOUS
KATAGRAFWN	
PERIEXWN	PERIE/XWN
APODIDOUMEN	A)PODIDOU=MEN
APODIDOUNTES	A)PODIDOU=NTES
ESKATA	E)/SXATA
EKSTW	E)KSTW=
EKKLHSIAI	E)KKLHSI/AI
UPOSTASI	U(POSTA=SI
APOKRUPENTA	A)POKRUPE/NTA
AUTON	
KURILLOS	*KU/RILLOS
EPOIHSA	E)POI/HSA
UPANAGNWSH	U(PANAGNW/SH|
KAUTWN	KAUTW=N
STELLWMENW	STELLWME/NW
PAGARXIAS	PAGARXI/AS
EISELQOTA	EI)SELQO/TA
LELAKTAI	LE/LAKTAI
FUGOTA	FUGO/TA
ERAUNAN	
SIDERE	SIDERE/
PLOIW	PLOI/W
GR	GR
OUK	OU)K
TAGISHS	TAGI/SHS
SUNHEIS	SUNH/|EIS
MISQE	MISQE/
ANDREOU	*)ANDRE/OU
UION	UI(O/N
KATELABAN	KATE/LABAN
PROTOTUPWS	PROTOTU/PWS
PRW	PRW/
KARRA	KA/RRA
NANA	
SIBE	SI/BE
ETAIR	
SIDHRE	SI/DHRE
KARARA	*KARA/RA
DROMW	
ECELQW	E)CE/LQW
EPANELQW	E)PANE/LQW
DAPANE	DA/PANE
DANISQE	DA/NISQE
LOGO	LO/GO
QALLAS	QA=LLAS
KUPRW	KU/PRW
QALLA	QA/LLA
APOQHKE	A)PO/QHKE
MERO	MERO/
ELAIOURGW	
YATW	YATW/
FRAINAS	FRAI/NAS
PARAPEMPON	PARAPE/MPON
