SUNKURONTW	SUGKURO/NTW
SUNKEXWRHMENH	SUGKEXWRHME/NH
DELFAKIN	DELFA/KION
ONFIS	*)/OMFIS
OCEIDIN	O)CEI/DION
OLOKOTTININ	O(LOKOTTI/NION
ENGRAFENTWN	E)GGRAFE/NTWN
AMFIZBHTHSIS	A)MFISBH/THSIS
PARHNENKEN	PARH/NEGKEN
ANKHN	A)GKH=N
ENPUHSEWS	E)MPUH/SEWS
SUNBALLONTE	SUMBA/LLONTE
ENKEKLIKENAI	E)GKEKLIKE/NAI
SUNKEKLISQAI	SUGKEKLI/SQAI
SFRAGIDIN	SFRAGI/DION
ENENKHS	E)NE/GKHS
ANFOTEROIS	A)MFOTE/ROIS
KRITTONI	KRI/SSONI
KERBIKARIN	KERBIKA/RION
DIONUSIN	DIONU/SION
AZMENON	A)/SMENON
BOEIDIN	BOEI/DION
KARAKALLIN	KARAKA/LLION
ENBADIAN	E)MBADI/AN
SUNSKEUHS	SUSKEUH=S
EQIZMOU	E)QISMOU=
APHNENKANTO	A)PHNE/GKANTO
KATENGUHSETO	KATEGGUH/SETO
ENGISAI	E)GGI/SAI
PANMATI	PA/MMATI
ANANKH	A)NA/GKH
ANGELON	A)/GGELON
ANGELOS	A)/GGELOS
SUNSKEAZOMENOS	SUSKEAZO/MENOS
EPHNENKEN	E)PH/NEGKEN
SUNXWRWN	SUGXWRW=N
SUNXWRHSEOS	SUGXWRH/SEOS
SUNSTATIKHN	SUSTATIKH/N
KRITTONOS	KRI/SSONOS
ENGEGRAMMENA	E)GGEGRAMME/NA
SUNGRAFOFULAKI	SUGGRAFOFU/LAKI
ENKALESEIN	E)GKALE/SEIN
SUNPLH	SU/MPLH
SUNKROUEIN	SUGKROU/EIN
ENORMIN	E)NO/RMION
ENBEBLHSQAI	E)MBEBLH=SQAI
LONGOS	LOGGO/S
LONGOU	LOGGOU=
SUNKOMIZEIN	SUGKOMI/ZEIN
SUNPTWSEI	SUMPTW/SEI
ANKALAS	A)GKA/LAS
ENKATALIPEIN	E)GKATALIPEI=N
SUNXWRH	SUGXWRH=
KAMASIN	KAMA/SION
KAMISIN	KAMI/SION
SUNXRHMATIZOUSI	SUGXRHMATI/ZOUSI
SUNKUROUSWN	SUGKUROUSW=N
APOSUSSTATIKOU	A)POSUSTATIKOU=
PARASUNGRAFH	PARASUGGRAFH/
SUNBEBLHMENW	SUMBEBLHME/NW
SUNLHMFQEIS	SULLHMFQEI/S
ASUNKRITIOU	*)ASUGKRITI/OU
KAMISIOMAFORIN	KAMISIOMAFO/RION
OQONIN	O)QO/NION
SINDONIN	SINDO/NION
XOIRIDIN	XOIRI/DION
ENXEIRIDIN	E)GXEIRI/DION
ENGAIWN	E)GGAI/WN
ENBAFIN	E)MBA/FION
SUNKWMHTAI	SUGKWMH=TAI
TUNXANOMEN	TUGXA/NOMEN
KUAQIN	KUA/QION
ZWNARIN	ZWNA/RION
KWDWNIN	KWDW/NION
DAKTULIN	DAKTU/LION
SUNKLEISOMEN	SUGKLEI/SOMEN
ANGEIA	A)GGEI=A
EPHNGEILAMHN	E)PHGGEILA/MHN
POTHRIN	POTH/RION
CURAFIN	CURA/FION
ANKURWNWN	A)GKURW/NWN
SUNBOHQON	SUMBOHQO/N
ENKLHMA	E)/GKLHMA
DIAPENYAMENOU	DIAPEMYAME/NOU
ENGRAPTOU	E)GGRA/PTOU
SUNKRISIN	SU/GKRISIN
SUNZEUCON	SU/ZEUCON
SUNLEGOMENON	SULLEGO/MENON
MENFIN	*ME/MFIN
STIN	STI=ON
ENXEIRISQEISAN	E)GXEIRISQEI=SAN
ENGEGRAMMENOUS	E)GGEGRAMME/NOUS
SITARIN	SITA/RION
HNARIN	H)NA/RION
SUNKWMHTHS	SUGKWMH/THS
ENKALOUME	E)GKALOU=ME
OIPER	OI(
ENKALOUME	E)GKALOU=ME
ENKTHSEWN	E)GKTH/SEWN
SUNKEXWRHKENAI	SUGKEXWRHKE/NAI
ENGONON	E)/GGONON
TRIODONTIN	TRIODO/NTION
EP'	E)PI/
KATABOLIN	KATABO/LION
ENKATALIYANTA	E)GKATALI/YANTA
SUNLITOURGOIS	SULLITOURGOI=S
EPENYATAI	E)PEMYA=TAI
QARROUN	QARSOU=N
EISANGELLOMEN	EI)SAGGE/LLOMEN
SUNKEIMENOU	SUGKEIME/NOU
SUNXWRHSON	SUGXW/RHSON
SUNBION	SU/MBION
ENGUHTH	E)GGUHTH/
LONGINOS	*LOGGI=NOS
ENXEIRISQHNAI	E)GXEIRISQH=NAI
ENPIPTOUSWN	E)MPIPTOUSW=N
ZEUGARIN	ZEUGA/RION
ASUNKRITE	A)SU/GKRITE
ENGONOU	E)GGO/NOU
SUNBOLHS	SUMBOLH=S
ENKALESAI	E)GKALE/SAI
SUNBIWSEWS	SUMBIW/SEWS
SUNPARAKALESH	SUMPARAKALE/SH
SUNKLASQENTWN	SUGKLASQE/NTWN
DOCARIN	DOCA/RION
KRABATIN	KRABA/TION
SUNPARONTOS	SUMPARO/NTOS
